Action;Time;ISIN;Ticker;Name;ID;No. of shares;Price / share;Currency (Price / share);Total;Withholding tax;Currency (Withholding tax);Stamp duty reserve tax;Currency (Stamp duty reserve tax);Currency conversion fee;Currency (Currency conversion fee);French transaction tax;Currency (French transaction tax)
Market buy;2024-03-13 08:05:10.819;NL0012969182;ADYEN;Adyen;EOF11553207242;0.0084906200;1472.20;EUR;12.50;;;;;;;;
Market buy;2024-03-13 13:35:12.058;US67066G1040;NVDA;Nvidia;EOF11600565844;0.0151632000;900.48;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-13 13:35:12.677;US86800U3023;SMCI;Super Micro Computer;EOF11600566035;0.0119773600;1140.00;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-13 13:35:12.756;US5949181045;MSFT;Microsoft;EOF11600566050;0.0328676000;415.43;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-14 08:05:04.424;NL0012969182;ADYEN;Adyen;EOF11602038454;0.0084745000;1475.00;EUR;12.50;;;;;;;;
Dividend (Dividend);15/08/2024 14:53;US0378331005;AAPL;Apple;;23.419.315.000;0.21;USD;0.45;0.09;USD;;;;;;
Dividend (Dividend);16/05/2024 11:08;US0378331005;AAPL;Apple;;21.343.982.000;0.21;USD;0.42;0.08;USD;;;;;;
Market buy;2024-03-14 13:35:17.096;US67066G1040;NVDA;Nvidia;EOF11650603785;0.0151499000;899.40;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-14 13:35:17.141;US86800U3023;SMCI;Super Micro Computer;EOF11650603801;0.0114616000;1188.83;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-14 13:35:17.169;US5949181045;MSFT;Microsoft;EOF11650603817;0.0323737000;420.89;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-15 08:05:15.19;NL0012969182;ADYEN;Adyen;EOF11652275190;0.0085498600;1462.00;EUR;12.50;;;;;;;;
Market buy;2024-03-15 13:35:38.025;US5949181045;MSFT;Microsoft;EOF11700801642;0.0323602000;419.91;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-15 13:35:38.422;US67066G1040;NVDA;Nvidia;EOF11700801741;0.0156494000;868.30;USD;12.50;;;;;0.02;EUR;;
Market buy;2024-03-15 13:35:39.321;US86800U3023;SMCI;Super Micro Computer;EOF11700802099;0.0122418000;1110.00;USD;12.50;;;;;0.02;EUR;;
Dividend (Dividend);15/02/2024 12:33;US0378331005;AAPL;Apple;;18.875.868.000;0.20;USD;0.36;0.07;USD;;;;;;
Dividend (Dividend);01/11/2024 11:06;US1101221083;BMY;Bristol-Myers Squibb;;0.6310310000;0.51;USD;0.30;0.06;USD;;;;;;
Dividend (Dividend);27/12/2024 15:37;IE00B3XXRP09;VUSD;Vanguard S&P 500 (Dist);;10.000.000.000;0.31;USD;0.29;0.00;USD;;;;;;
