Action;Time;ISIN;Ticker;Name;ID;No. of shares;Price / share;Currency (Price / share);Total;Withholding tax;Currency (Withholding tax);Stamp duty reserve tax;Currency (Stamp duty reserve tax);Currency conversion fee;Currency (Currency conversion fee);French transaction tax;Currency (French transaction tax)
Market buy;2024-04-01 13:39:01.625;US5949181045;MSFT;Microsoft;EOF12402010380;0.0231820000;427.12;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-04-01 13:39:02.336;US67066G1040;NVDA;Nvidia;EOF12402010454;0.0107637000;919.89;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-04-01 13:39:03.121;US86800U3023;SMCI;Super Micro Computer;EOF12402010559;0.0037244400;1040.29;USD;3.60;;;;;0.01;EUR;;
Market buy;2024-04-02 07:07:23.891;NL0010273215;ASML;ASML;EOF12404040168;0.0096468000;912.20;EUR;8.80;;;;;;;;
Market buy;2024-04-02 07:07:25.117;NL0012969182;ADYEN;Adyen;EOF12404040196;0.0057817300;1591.20;EUR;9.20;;;;;;;;
Market buy;2024-04-02 07:07:48.13;NL0010273215;ASML;ASML;EOF12404041767;0.0385879000;912.20;EUR;35.20;;;;;;;;
Market buy;2024-04-02 07:07:49.821;NL0012969182;ADYEN;Adyen;EOF12404041927;0.0231329500;1590.80;EUR;36.80;;;;;;;;
Dividend (Dividend);30/09/2024 11:06;US7134481081;PEP;PepsiCo;;0.1684489000;1.15;USD;0.17;0.03;USD;;;;;;
Market buy;2024-04-02 13:36:46.034;US5949181045;MSFT;Microsoft;EOF12451838195;0.0938128000;421.47;USD;36.80;;;;;0.06;EUR;;
Market buy;2024-04-02 13:36:46.23;US86800U3023;SMCI;Super Micro Computer;EOF12451838204;0.0155966000;992.00;USD;14.40;;;;;0.02;EUR;;
Market buy;2024-04-02 13:36:46.754;US67066G1040;NVDA;Nvidia;EOF12451838222;0.0445267000;887.99;USD;36.80;;;;;0.06;EUR;;
Market buy;2024-04-03 07:05:15.302;NL0012969182;ADYEN;Adyen;EOF12454136888;0.0058822800;1564.00;EUR;9.20;;;;;;;;
Market buy;2024-04-03 07:05:15.62;NL0010273215;ASML;ASML;EOF12454136909;0.0098487000;893.50;EUR;8.80;;;;;;;;
Market buy;2024-04-03 13:36:05.254;US5949181045;MSFT;Microsoft;EOF12455248686;0.0236038000;419.94;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-04-03 13:36:09.406;US67066G1040;NVDA;Nvidia;EOF12455248848;0.0111273000;890.80;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-04-03 13:36:10.88;US86800U3023;SMCI;Super Micro Computer;EOF12455248926;0.0039619000;978.99;USD;3.60;;;;;0.01;EUR;;
Market buy;2024-04-04 07:05:40.013;NL0010273215;ASML;ASML;EOF12501937041;0.0096893000;908.20;EUR;8.80;;;;;;;;
Market buy;2024-04-04 07:05:40.753;NL0012969182;ADYEN;Adyen;EOF12501937119;0.0059049400;1558.00;EUR;9.20;;;;;;;;
Dividend (Dividend);05/04/2024 10:25;CA1363851017;CNQ;Canadian Natural Resources;;0.2699850000;0.66;USD;0.16;0.03;USD;;;;;;
Market buy;2024-04-04 13:35:09.541;US67066G1040;NVDA;Nvidia;EOF12502988116;0.0110204000;906.20;USD;9.20;;;;;0.01;EUR;;
Market buy;2024-04-04 13:35:10.025;US86800U3023;SMCI;Super Micro Computer;EOF12502988140;0.0037217100;1050.00;USD;3.60;;;;;0.01;EUR;;
Market buy;2024-04-04 13:35:10.375;US5949181045;MSFT;Microsoft;EOF12502988158;0.0234638000;425.62;USD;9.20;;;;;0.01;EUR;;
Dividend (Dividend);24/05/2024 09:44;CA7800871021;RY;Royal Bank of Canada;;0.1970529000;0.85;USD;0.16;0.03;USD;;;;;;
Market buy;2024-04-08 07:05:22.65;NL0010273215;ASML;ASML;EOF12700279219;0.0230214000;903.50;EUR;20.80;;;;;;;;
Market buy;2024-04-08 07:05:23.72;NL0012969182;ADYEN;Adyen;EOF12700279290;0.0138721400;1499.40;EUR;20.80;;;;;;;;
Market buy;2024-04-08 13:36:45.196;US5949181045;MSFT;Microsoft;EOF12751582221;0.0469494000;424.35;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-08 13:36:45.874;US67066G1040;NVDA;Nvidia;EOF12751582354;0.0226784000;878.50;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-08 13:36:47.012;US86800U3023;SMCI;Super Micro Computer;EOF12751582549;0.0018548000;934.00;USD;1.60;;;;;;;;
Market buy;2024-04-09 07:05:07.184;NL0010273215;ASML;ASML;EOF12754028772;0.0340982000;915.00;EUR;31.20;;;;;;;;
Market buy;2024-04-09 07:05:07.414;NL0012969182;ADYEN;Adyen;EOF12754028788;0.0208639100;1495.40;EUR;31.20;;;;;;;;
Dividend (Dividend);31/10/2024 10:06;US46625H1005;JPM;JPMorgan Chase & Co;;0.1644225000;1.06;USD;0.16;0.03;USD;;;;;;
Dividend (Dividend manufactured payment);12/11/2024 12:21;US00123Q1040;AGNC;AGNC Investment;;16.498.740.000;0.10;USD;0.16;0.03;USD;;;;;;
Market buy;2024-04-09 13:35:09.451;US67066G1040;NVDA;Nvidia;EOF12800085321;0.0346699000;865.08;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-04-09 13:35:09.537;US5949181045;MSFT;Microsoft;EOF12800085351;0.0705369000;425.20;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-04-09 13:35:10.273;US86800U3023;SMCI;Super Micro Computer;EOF12800085505;0.0028502000;915.00;USD;2.40;;;;;;;;
Market buy;2024-04-11 07:05:26.802;NL0012969182;ADYEN;Adyen;EOF12853302817;0.0143625800;1448.20;EUR;20.80;;;;;;;;
Market buy;2024-04-11 07:05:27.351;NL0010273215;ASML;ASML;EOF12853302868;0.0228344000;910.90;EUR;20.80;;;;;;;;
Dividend (Dividend);15/11/2024 16:38;US7427181091;PG;Procter & Gamble;;0.1923058000;0.86;USD;0.16;0.03;USD;;;;;;
Market buy;2024-04-11 13:35:39.524;US5949181045;MSFT;Microsoft;EOF12900154544;0.0463049000;426.27;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-11 13:35:40.07;US67066G1040;NVDA;Nvidia;EOF12900154612;0.0223537000;883.00;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-11 13:35:41.831;US86800U3023;SMCI;Super Micro Computer;EOF12900154787;0.0018615000;921.98;USD;1.60;;;;;;;;
Dividend (Dividend);11/10/2024 10:20;US3546131018;BEN;Franklin Resources;;0.6050270000;0.26;USD;0.15;0.03;USD;;;;;;
Dividend (Dividend);31/10/2024 10:26;CA8911605092;TD;Toronto-Dominion Bank;;0.2541920000;0.62;USD;0.15;0.03;USD;;;;;;
Market buy;2024-04-15 07:06:34.79;NL0010273215;ASML;ASML;EOF13001388371;0.0228069000;912.00;EUR;20.80;;;;;;;;
Market buy;2024-04-15 07:06:41.535;NL0012969182;ADYEN;Adyen;EOF13001388753;0.0145637100;1428.20;EUR;20.80;;;;;;;;
Dividend (Dividend);27/12/2024 16:30;US74144T1088;TROW;T Rowe Price;;0.1471887000;1.05;USD;0.15;0.03;USD;;;;;;
Dividend (Dividend);10/06/2024 09:50;US4592001014;IBM;IBM;;0.1068457000;1.42;USD;0.14;0.03;USD;;;;;;
Dividend (Dividend);09/10/2024 09:15;US00123Q1040;AGNC;AGNC Investment;;15.400.450.000;0.10;USD;0.14;0.03;USD;;;;;;
Market buy;2024-04-15 13:35:28.123;US67066G1040;NVDA;Nvidia;EOF13101560632;0.0221208000;884.00;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-15 13:35:28.223;US86800U3023;SMCI;Super Micro Computer;EOF13101560643;0.0018866000;901.26;USD;1.60;;;;;;;;
Market buy;2024-04-15 13:35:28.654;US5949181045;MSFT;Microsoft;EOF13101560657;0.0461219000;423.98;USD;18.40;;;;;0.03;EUR;;
Dividend (Dividend manufactured payment);19/11/2024 11:37;US74348T1025;PSEC;Prospect Capital;;28.574.800.000;0.05;USD;0.14;0.03;USD;;;;;;
Dividend (Dividend manufactured payment);13/12/2024 14:53;US7561091049;O;Realty Income;;0.6448900000;0.22;USD;0.14;0.03;USD;;;;;;
Market buy;2024-04-16 07:05:02.486;NL0012969182;ADYEN;Adyen;EOF13103882086;0.0219810400;1419.40;EUR;31.20;;;;;;;;
Market buy;2024-04-16 07:05:02.525;NL0010273215;ASML;ASML;EOF13103882094;0.0348290000;895.80;EUR;31.20;;;;;;;;
Market buy;2024-04-16 13:35:55.047;US67066G1040;NVDA;Nvidia;EOF13104898482;0.0338498000;865.68;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-04-16 13:35:55.657;US5949181045;MSFT;Microsoft;EOF13104898696;0.0707257000;414.32;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-04-16 13:35:56.981;US86800U3023;SMCI;Super Micro Computer;EOF13104898923;0.0027907000;913.00;USD;2.40;;;;;;;;
Market buy;2024-04-18 07:05:28.094;NL0010273215;ASML;ASML;EOF13201138218;0.0240489000;864.90;EUR;20.80;;;;;;;;
Market buy;2024-04-18 07:05:28.644;NL0012969182;ADYEN;Adyen;EOF13201138233;0.0145616700;1428.40;EUR;20.80;;;;;;;;
Dividend (Dividend);27/12/2024 13:45;US67066G1040;NVDA;Nvidia;;170.827.474.000;0.01;USD;0.14;0.03;USD;;;;;;
Market buy;2024-04-18 13:35:26.174;US5949181045;MSFT;Microsoft;EOF13202535005;0.0477959000;409.80;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-18 13:35:26.575;US67066G1040;NVDA;Nvidia;EOF13202535069;0.0232622000;842.00;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-18 13:35:26.834;US86800U3023;SMCI;Super Micro Computer;EOF13202535110;0.0017880000;952.51;USD;1.60;;;;;;;;
Market buy;2024-04-22 07:05:08.332;NL0012969182;ADYEN;Adyen;EOF13350776746;0.0146912600;1415.80;EUR;20.80;;;;;;;;
Market buy;2024-04-22 07:05:09.977;NL0010273215;ASML;ASML;EOF13350776905;0.0252242000;824.60;EUR;20.80;;;;;;;;
Dividend (Dividend);28/06/2024 15:01;US7134481081;PEP;PepsiCo;;0.1163588000;1.15;USD;0.13;0.02;USD;;;;;;
Market buy;2024-04-22 13:35:40.443;US67066G1040;NVDA;Nvidia;EOF13402100897;0.0251786000;775.43;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-22 13:35:40.634;US86800U3023;SMCI;Super Micro Computer;EOF13402100942;0.0024320000;698.06;USD;1.60;;;;;;;;
Market buy;2024-04-22 13:35:41.514;US5949181045;MSFT;Microsoft;EOF13402101047;0.0486344000;401.45;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-23 07:05:21.188;NL0010273215;ASML;ASML;EOF13403237699;0.0377539000;826.40;EUR;31.20;;;;;;;;
Market buy;2024-04-23 07:05:23.442;NL0012969182;ADYEN;Adyen;EOF13403237898;0.0222316500;1403.40;EUR;31.20;;;;;;;;
Market buy;23/04/2024 13:35;US67066G1040;NVDA;Nvidia;EOF13404432327;0.0365932000;803.24;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-04-23 13:35:08.043;US5949181045;MSFT;Microsoft;EOF13404432336;0.0727500000;404.03;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-04-23 13:35:08.578;US86800U3023;SMCI;Super Micro Computer;EOF13404432386;0.0035574000;718.47;USD;2.40;;;;;;;;
Dividend (Dividend);11/09/2024 08:56;US00123Q1040;AGNC;AGNC Investment;;14.316.230.000;0.10;USD;0.13;0.03;USD;;;;;;
Market buy;2024-04-24 14:13:31.348;US4781601046;JNJ;Johnson & Johnson;EOF13500782779;15.000.000.000;147.94;USD;207.72;;;;;0.31;EUR;;
Market buy;2024-04-25 07:05:07.349;NL0010273215;ASML;ASML;EOF13501540177;0.0250420000;830.60;EUR;20.80;;;;;;;;
Market buy;2024-04-25 07:11:27.246;NL0012969182;ADYEN;Adyen;EOF13501545622;0.0162524600;1279.80;EUR;20.80;;;;;;;;
Market buy;2024-04-25 09:50:48.232;NL0012969182;ADYEN;Adyen;EOF13502812254;0.2000000000;1250.40;EUR;250.08;;;;;;;;
Market buy;2024-04-25 13:35:35.42;US86800U3023;SMCI;Super Micro Computer;EOF13550802870;0.0022862000;747.00;USD;1.60;;;;;;;;
Market buy;2024-04-25 13:35:35.437;US5949181045;MSFT;Microsoft;EOF13550802873;0.0501596000;391.56;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-25 13:35:35.535;US67066G1040;NVDA;Nvidia;EOF13550802879;0.0246630000;796.35;USD;18.40;;;;;0.03;EUR;;
Dividend (Dividend);17/09/2024 12:30;US5801351017;MCD;McDonald's;;0.0998775000;1.42;USD;0.13;0.03;USD;;;;;;
Market buy;2024-04-29 07:06:51.441;NL0010273215;ASML;ASML;EOF13650791896;0.0242507000;857.70;EUR;20.80;;;;;;;;
Market buy;2024-04-29 07:06:57.025;NL0012969182;ADYEN;Adyen;EOF13650792258;0.0176180700;1180.60;EUR;20.80;;;;;;;;
Market buy;2024-04-29 13:37:20.013;US67066G1040;NVDA;Nvidia;EOF13751739958;0.0226721000;866.74;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-29 13:37:20.042;US5949181045;MSFT;Microsoft;EOF13751739964;0.0488597000;402.19;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-04-29 13:37:21.78;US86800U3023;SMCI;Super Micro Computer;EOF13751740122;0.0020296000;841.85;USD;1.60;;;;;;;;
Market buy;2024-04-30 07:05:01.791;NL0010273215;ASML;ASML;EOF13753989860;0.0366798000;850.60;EUR;31.20;;;;;;;;
Market buy;2024-04-30 07:05:02.448;NL0012969182;ADYEN;Adyen;EOF13753989870;0.0269895300;1156.00;EUR;31.20;;;;;;;;
Dividend (Dividend);15/11/2024 16:09;US3695501086;GD;General Dynamics;;0.1117531000;1.21;USD;0.13;0.02;USD;;;;;;
Dividend (Dividend);27/09/2024 13:10;US74144T1088;TROW;T Rowe Price;;0.1268691000;1.05;USD;0.12;0.02;USD;;;;;;
Dividend (Dividend);03/10/2024 09:32;US67066G1040;NVDA;Nvidia;;153.036.362.000;0.01;USD;0.12;0.02;USD;;;;;;
Dividend (Dividend);22/10/2024 08:12;US74348T1025;PSEC;Prospect Capital;;26.494.700.000;0.05;USD;0.12;0.02;USD;;;;;;
Market buy;2024-04-30 13:36:52.869;US67066G1040;NVDA;Nvidia;EOF13800656765;0.0336690000;876.58;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-04-30 13:36:53.704;US86800U3023;SMCI;Super Micro Computer;EOF13800656808;0.0028852000;889.50;USD;2.40;;;;;;;;
Market buy;2024-04-30 13:36:53.747;US5949181045;MSFT;Microsoft;EOF13800656817;0.0736348000;400.81;USD;27.60;;;;;0.04;EUR;;
Dividend (Dividend);15/11/2024 16:26;US7561091049;O;Realty Income;;0.5794920000;0.22;USD;0.12;0.02;USD;;;;;;
Market buy;2024-05-02 07:05:42.77;NL0010273215;ASML;ASML;EOF13853861745;0.0256345000;811.40;EUR;20.80;;;;;;;;
Market buy;2024-05-02 07:05:43.183;NL0012969182;ADYEN;Adyen;EOF13853861765;0.0188234300;1105.00;EUR;20.80;;;;;;;;
Market buy;2024-05-02 13:35:51.129;US67066G1040;NVDA;Nvidia;EOF13900618013;0.0231375000;849.04;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-02 13:35:51.91;US5949181045;MSFT;Microsoft;EOF13900618083;0.0495003000;396.86;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-02 13:35:52.271;US86800U3023;SMCI;Super Micro Computer;EOF13900618098;0.0022652000;754.10;USD;1.60;;;;;;;;
Market buy;2024-05-06 07:05:03.074;NL0012969182;ADYEN;Adyen;EOF13952183511;0.0179124100;1161.20;EUR;20.80;;;;;;;;
Market buy;2024-05-06 07:05:03.742;NL0010273215;ASML;ASML;EOF13952183549;0.0247735000;839.60;EUR;20.80;;;;;;;;
Market buy;2024-05-06 13:35:31.496;US67066G1040;NVDA;Nvidia;EOF14000085379;0.0220485000;898.51;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-06 13:35:31.847;US5949181045;MSFT;Microsoft;EOF14000085429;0.0485868000;407.74;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-06 13:35:32.588;US86800U3023;SMCI;Super Micro Computer;EOF14000085623;0.0021777000;790.99;USD;1.60;;;;;;;;
Market buy;2024-05-06 17:19:26.344;US4781601046;JNJ;Johnson & Johnson;EOF14100989317;10.000.000.000;148.35;USD;137.89;;;;;0.21;EUR;;
Dividend (Dividend);11/03/2024 14:12;US4592001014;IBM;IBM;;0.0836444000;1.41;USD;0.11;0.02;USD;;;;;;
Market buy;2024-05-07 11:04:50.224;NL0010273215;ASML;ASML;EOF14150265227;0.0245368000;853.00;EUR;20.93;;;;;;;;
Market buy;2024-05-07 11:04:53.436;NL0012969182;ADYEN;Adyen;EOF14150265234;0.0172376000;1214.20;EUR;20.93;;;;;;;;
Market buy;2024-05-07 13:36:03.453;US86800U3023;SMCI;Super Micro Computer;EOF14151752228;0.0021136000;820.00;USD;1.61;;;;;;;;
Market buy;2024-05-07 13:36:03.484;US5949181045;MSFT;Microsoft;EOF14151752239;0.0481435000;414.12;USD;18.52;;;;;0.03;EUR;;
Market buy;2024-05-07 13:36:10.844;US67066G1040;NVDA;Nvidia;EOF14151753126;0.0218755000;911.39;USD;18.52;;;;;0.03;EUR;;
Dividend (Dividend);31/07/2024 09:38;US46625H1005;JPM;JPMorgan Chase & Co;;0.1227573000;0.98;USD;0.11;0.02;USD;;;;;;
Dividend (Dividend);09/08/2024 12:49;US00123Q1040;AGNC;AGNC Investment;;12.119.940.000;0.10;USD;0.11;0.02;USD;;;;;;
Dividend (Dividend);15/08/2024 15:34;US7427181091;PG;Procter & Gamble;;0.1393480000;0.86;USD;0.11;0.02;USD;;;;;;
Market buy;2024-05-10 07:05:12.668;NL0010273215;ASML;ASML;EOF14251967319;0.0243188000;855.30;EUR;20.80;;;;;;;;
Market buy;2024-05-10 07:05:25.217;NL0012969182;ADYEN;Adyen;EOF14251968250;0.0168885100;1231.60;EUR;20.80;;;;;;;;
Dividend (Dividend);19/09/2024 10:46;US74348T1025;PSEC;Prospect Capital;;24.428.800.000;0.05;USD;0.11;0.02;USD;;;;;;
Dividend (Dividend);15/10/2024 13:04;US7561091049;O;Realty Income;;0.5452050000;0.22;USD;0.11;0.02;USD;;;;;;
Market buy;2024-05-10 13:35:49.624;US67066G1040;NVDA;Nvidia;EOF14300478489;0.0219059000;904.06;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-10 13:35:49.684;US5949181045;MSFT;Microsoft;EOF14300478501;0.0477868000;414.43;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-10 13:35:51.131;US86800U3023;SMCI;Super Micro Computer;EOF14300478590;0.0021078000;817.01;USD;1.60;;;;;;;;
Market buy;2024-05-10 19:53:28.318;US5021751020;LTC;LTC Properties;EOF14301587812;50.000.000.000;33.97;USD;157.91;;;;;0.24;EUR;;
Market buy;2024-05-13 07:05:21.705;NL0012969182;ADYEN;Adyen;EOF14350978192;0.0166559000;1248.80;EUR;20.80;;;;;;;;
Market buy;2024-05-13 07:05:23.389;NL0010273215;ASML;ASML;EOF14350978260;0.0240405000;865.20;EUR;20.80;;;;;;;;
Dividend (Dividend);15/10/2024 13:20;US14149Y1082;CAH;Cardinal Health;;0.2899338000;0.43;USD;0.11;0.02;USD;;;;;;
Market buy;2024-05-13 13:35:02.866;US86800U3023;SMCI;Super Micro Computer;EOF14400048480;0.0021394000;806.95;USD;1.60;;;;;;;;
Market buy;2024-05-13 13:35:03.005;US5949181045;MSFT;Microsoft;EOF14400048493;0.0479653000;413.92;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-13 13:35:03.037;US67066G1040;NVDA;Nvidia;EOF14400048496;0.0219279000;905.41;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-14 07:05:28.113;NL0010273215;ASML;ASML;EOF14404159551;0.0244244000;851.60;EUR;20.80;;;;;;;;
Market buy;2024-05-14 07:05:33.799;NL0012969182;ADYEN;Adyen;EOF14404159961;0.0166372500;1250.20;EUR;20.80;;;;;;;;
Dividend (Dividend);10/12/2024 12:11;US00123Q1040;AGNC;AGNC Investment;;11.111.363.500;0.10;USD;0.11;0.02;USD;;;;;;
Market buy;2024-05-14 13:35:21.448;US5949181045;MSFT;Microsoft;EOF14450692576;0.0481511000;412.63;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-14 13:35:22.659;US67066G1040;NVDA;Nvidia;EOF14450692595;0.0221871000;895.50;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-14 13:35:23.325;US86800U3023;SMCI;Super Micro Computer;EOF14450692663;0.0022321000;774.00;USD;1.60;;;;;;;;
Dividend (Dividend);12/12/2024 12:28;US0394831020;ADM;Archer-Daniels-Midland;;0.2832390000;0.43;USD;0.11;0.02;USD;;;;;;
Dividend (Dividend manufactured payment);19/12/2024 14:25;US74348T1025;PSEC;Prospect Capital;;28.574.800.000;0.04;USD;0.11;0.02;USD;;;;;;
Dividend (Dividend);01/04/2024 09:25;US7134481081;PEP;PepsiCo;;0.1037017000;1.08;USD;0.10;0.02;USD;;;;;;
Dividend (Dividend);30/04/2024 12:00;US46625H1005;JPM;JPMorgan Chase & Co;;0.1114048000;0.98;USD;0.10;0.02;USD;;;;;;
Market buy;2024-05-16 07:05:18.164;NL0010273215;ASML;ASML;EOF14504259013;0.0241971000;859.60;EUR;20.80;;;;;;;;
Market buy;2024-05-16 07:05:18.848;NL0012969182;ADYEN;Adyen;EOF14504259083;0.0160865400;1293.00;EUR;20.80;;;;;;;;
Dividend (Dividend);15/05/2024 12:11;US7427181091;PG;Procter & Gamble;;0.1260169000;0.86;USD;0.10;0.02;USD;;;;;;
Market buy;2024-05-16 13:35:03.194;US67066G1040;NVDA;Nvidia;EOF14550118546;0.0210184000;949.43;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-16 13:35:03.441;US5949181045;MSFT;Microsoft;EOF14550118564;0.0470770000;423.89;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-16 13:35:03.638;US86800U3023;SMCI;Super Micro Computer;EOF14550118570;0.0018598000;933.00;USD;1.60;;;;;;;;
Market buy;2024-05-20 07:05:03.229;NL0010273215;ASML;ASML;EOF14700468269;0.0245426000;847.50;EUR;20.80;;;;;;;;
Market buy;2024-05-20 07:05:03.332;NL0012969182;ADYEN;Adyen;EOF14700468280;0.0167471000;1242.00;EUR;20.80;;;;;;;;
Market buy;2024-05-20 13:35:33.103;US5949181045;MSFT;Microsoft;EOF14752902813;0.0471843000;422.99;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-20 13:35:33.789;US86800U3023;SMCI;Super Micro Computer;EOF14752902960;0.0018999000;913.45;USD;1.60;;;;;;;;
Market buy;2024-05-20 13:35:34.379;US67066G1040;NVDA;Nvidia;EOF14752903046;0.0210993000;945.93;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-21 07:05:32.488;NL0012969182;ADYEN;Adyen;EOF14755364058;0.0252835400;1234.00;EUR;31.20;;;;;;;;
Market buy;2024-05-21 07:05:33.529;NL0010273215;ASML;ASML;EOF14755364200;0.0361905000;862.10;EUR;31.20;;;;;;;;
Dividend (Dividend);10/07/2024 09:14;US00123Q1040;AGNC;AGNC Investment;;11.056.100.000;0.10;USD;0.10;0.02;USD;;;;;;
Market buy;2024-05-21 13:36:35.837;US86800U3023;SMCI;Super Micro Computer;EOF14800681372;0.0029336000;886.56;USD;2.40;;;;;;;;
Market buy;2024-05-21 13:36:36.206;US67066G1040;NVDA;Nvidia;EOF14800681396;0.0318422000;939.36;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-05-21 13:36:36.348;US5949181045;MSFT;Microsoft;EOF14800681411;0.0700991000;426.70;USD;27.60;;;;;0.04;EUR;;
Market buy;2024-05-23 07:05:15.608;NL0012969182;ADYEN;Adyen;EOF14852770706;0.0171871500;1210.20;EUR;20.80;;;;;;;;
Market buy;2024-05-23 07:05:16.124;NL0010273215;ASML;ASML;EOF14852770764;0.0238695000;871.40;EUR;20.80;;;;;;;;
Market buy;2024-05-23 13:35:58.615;US67066G1040;NVDA;Nvidia;EOF14900338152;0.0192165800;1038.15;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-23 13:35:59.049;US5949181045;MSFT;Microsoft;EOF14900338180;0.0460891000;432.85;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-23 13:35:59.522;US86800U3023;SMCI;Super Micro Computer;EOF14900338200;0.0018051000;961.14;USD;1.60;;;;;;;;
Market buy;2024-05-23 19:48:22.217;US5021751020;LTC;LTC Properties;EOF14902565207;41.950.270.000;34.19;USD;132.90;;;;;0.20;EUR;;
Market buy;2024-05-23 19:48:25.193;US5021751020;LTC;LTC Properties;EOF14902565208;0.8049730000;34.19;USD;25.50;;;;;0.04;EUR;;
Dividend (Dividend);12/07/2024 11:25;US3546131018;BEN;Franklin Resources;;0.3974440000;0.26;USD;0.10;0.02;USD;;;;;;
Market buy;2024-05-27 07:05:37.155;NL0010273215;ASML;ASML;EOF15050263847;0.0236094000;881.00;EUR;20.80;;;;;;;;
Market buy;2024-05-27 07:05:42.899;NL0012969182;ADYEN;Adyen;EOF15050264173;0.0171023600;1216.20;EUR;20.80;;;;;;;;
Dividend (Dividend);31/07/2024 09:29;CA8911605092;TD;Toronto-Dominion Bank;;0.1797720000;0.63;USD;0.10;0.02;USD;;;;;;
Dividend (Dividend);03/09/2024 09:31;US9311421039;WMT;Walmart;;0.6257019000;0.18;USD;0.10;0.02;USD;;;;;;
Market buy;2024-05-28 13:37:12.786;US67066G1040;NVDA;Nvidia;EOF15151981114;0.0179619600;1112.00;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-28 13:37:12.786;US5949181045;MSFT;Microsoft;EOF15151981118;0.0465913000;428.70;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-28 13:37:12.86;US86800U3023;SMCI;Super Micro Computer;EOF15151981123;0.0019321000;899.00;USD;1.60;;;;;;;;
Market buy;2024-05-29 07:05:31.412;NL0012969182;ADYEN;Adyen;EOF15155662244;0.0173072800;1201.80;EUR;20.80;;;;;;;;
Market buy;2024-05-29 07:05:32.091;NL0010273215;ASML;ASML;EOF15155662326;0.0230189000;903.60;EUR;20.80;;;;;;;;
Market buy;2024-05-29 13:35:13.728;US67066G1040;NVDA;Nvidia;EOF15200777424;0.0176480400;1128.00;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-29 13:35:13.763;US5949181045;MSFT;Microsoft;EOF15200777427;0.0465203000;427.92;USD;18.40;;;;;0.03;EUR;;
Market buy;2024-05-29 13:35:14.907;US86800U3023;SMCI;Super Micro Computer;EOF15200777467;0.0020287000;853.23;USD;1.60;;;;;;;;
Dividend (Dividend);13/09/2024 11:40;US7561091049;O;Realty Income;;0.5087070000;0.22;USD;0.10;0.02;USD;;;;;;
Market buy;2024-05-31 07:05:14.333;NL0012969182;ADYEN;Adyen;EOF15252919073;0.0176449700;1178.80;EUR;20.80;;;;;;;;
Market buy;2024-05-31 07:05:14.676;NL0010273215;ASML;ASML;EOF15252919100;0.0235719000;882.40;EUR;20.80;;;;;;;;
Dividend (Dividend);02/10/2024 09:54;US4943681035;KMB;Kimberly-Clark;;0.1118904000;1.04;USD;0.10;0.02;USD;;;;;;
Dividend (Dividend);23/10/2024 07:31;US17275R1023;CSCO;Cisco Systems;;0.3042100000;0.34;USD;0.10;0.02;USD;;;;;;
